date,open,high,low,close,volume,average,barCount
2024-10-04,1.35523,1.35913,1.35449,1.35721,-1.0,-1.0,-1
2024-10-07,1.35672,1.363975,1.35672,1.36198,-1.0,-1.0,-1
2024-10-08,1.36205,1.367535,1.36113,1.364685,-1.0,-1.0,-1
2024-10-09,1.364775,1.37188,1.36429,1.371135,-1.0,-1.0,-1
2024-10-10,1.370825,1.377545,1.370475,1.37417,-1.0,-1.0,-1
2024-10-11,1.374075,1.378385,1.37252,1.376125,-1.0,-1.0,-1
2024-10-14,1.37605,1.38054,1.37587,1.37957,-1.0,-1.0,-1
2024-10-15,1.37909,1.383865,1.37701,1.37748,-1.0,-1.0,-1
2024-10-16,1.37748,1.379325,1.375015,1.37514,-1.0,-1.0,-1
2024-10-17,1.375395,1.38013,1.37472,1.379525,-1.0,-1.0,-1
2024-10-18,1.379545,1.38151,1.378555,1.37984,-1.0,-1.0,-1
2024-10-21,1.380175,1.38497,1.37996,1.38311,-1.0,-1.0,-1
2024-10-22,1.38305,1.3838,1.381375,1.38176,-1.0,-1.0,-1
2024-10-23,1.381725,1.386305,1.38162,1.38365,-1.0,-1.0,-1
2024-10-24,1.3837,1.386885,1.381265,1.385465,-1.0,-1.0,-1
2024-10-25,1.3854,1.389765,1.383825,1.38902,-1.0,-1.0,-1
2024-10-28,1.389145,1.39086,1.38822,1.38896,-1.0,-1.0,-1
2024-10-29,1.38895,1.39297,1.387675,1.39148,-1.0,-1.0,-1
2024-10-30,1.3914,1.39407,1.389515,1.390395,-1.0,-1.0,-1
2024-10-31,1.390425,1.39454,1.3891,1.393365,-1.0,-1.0,-1
2024-11-01,1.393335,1.395915,1.390265,1.39514,-1.0,-1.0,-1
2024-11-04,1.392405,1.392755,1.387515,1.39022,-1.0,-1.0,-1
2024-11-05,1.39015,1.390675,1.382305,1.38253,-1.0,-1.0,-1
2024-11-06,1.38275,1.39589,1.382395,1.393815,-1.0,-1.0,-1
2024-11-07,1.39421,1.394835,1.38423,1.386125,-1.0,-1.0,-1
2024-11-08,1.38605,1.3928,1.385985,1.391175,-1.0,-1.0,-1
2024-11-11,1.391755,1.395075,1.39051,1.39251,-1.0,-1.0,-1
2024-11-12,1.392555,1.39675,1.39171,1.39447,-1.0,-1.0,-1
2024-11-13,1.39444,1.400285,1.393065,1.39968,-1.0,-1.0,-1
2024-11-14,1.399725,1.40646,1.39882,1.40595,-1.0,-1.0,-1
2024-11-15,1.405895,1.41058,1.40334,1.40862,-1.0,-1.0,-1
2024-11-18,1.409225,1.41027,1.400425,1.40146,-1.0,-1.0,-1
2024-11-19,1.401775,1.403685,1.39555,1.39565,-1.0,-1.0,-1
2024-11-20,1.395875,1.401465,1.395065,1.397495,-1.0,-1.0,-1
2024-11-21,1.397525,1.39783,1.393135,1.397385,-1.0,-1.0,-1
2024-11-22,1.39725,1.402125,1.39577,1.39807,-1.0,-1.0,-1
2024-11-25,1.395375,1.400735,1.39278,1.398695,-1.0,-1.0,-1
2024-11-26,1.39865,1.417795,1.398195,1.405415,-1.0,-1.0,-1
2024-11-27,1.405455,1.407805,1.400955,1.40314,-1.0,-1.0,-1
2024-11-28,1.402825,1.403185,1.39986,1.40145,-1.0,-1.0,-1
2024-11-29,1.400975,1.404575,1.398065,1.400375,-1.0,-1.0,-1
2024-12-02,1.39915,1.408995,1.39913,1.404815,-1.0,-1.0,-1
2024-12-03,1.404905,1.40762,1.400915,1.406995,-1.0,-1.0,-1
2024-12-04,1.406825,1.40832,1.405205,1.40754,-1.0,-1.0,-1
2024-12-05,1.407325,1.40796,1.40104,1.40225,-1.0,-1.0,-1
